starttime	seconds	ctime	dtime	ttime	wait
Wed Aug 28 12:36:36 2013	1377668196	0	82	82	56
Wed Aug 28 12:36:35 2013	1377668195	0	89	89	67
Wed Aug 28 12:37:06 2013	1377668226	0	95	95	71
Wed Aug 28 12:36:31 2013	1377668191	0	95	95	72
Wed Aug 28 12:37:06 2013	1377668226	0	96	96	72
Wed Aug 28 12:37:01 2013	1377668221	0	96	96	73
Wed Aug 28 12:36:31 2013	1377668191	0	96	96	72
Wed Aug 28 12:36:31 2013	1377668191	0	96	96	72
Wed Aug 28 12:37:04 2013	1377668224	0	96	96	72
Wed Aug 28 12:37:06 2013	1377668226	0	96	96	72
Wed Aug 28 12:36:25 2013	1377668185	0	96	96	73
Wed Aug 28 12:36:32 2013	1377668192	0	96	96	73
Wed Aug 28 12:36:24 2013	1377668184	0	96	97	73
Wed Aug 28 12:37:03 2013	1377668223	0	96	97	72
Wed Aug 28 12:36:25 2013	1377668185	0	96	97	73
Wed Aug 28 12:36:26 2013	1377668186	0	96	97	73
Wed Aug 28 12:37:06 2013	1377668226	0	96	97	73
Wed Aug 28 12:36:31 2013	1377668191	0	97	97	73
Wed Aug 28 12:36:19 2013	1377668179	0	97	97	72
Wed Aug 28 12:37:05 2013	1377668225	0	97	97	73
Wed Aug 28 12:36:24 2013	1377668184	0	97	97	73
Wed Aug 28 12:36:18 2013	1377668178	0	97	97	73
Wed Aug 28 12:36:41 2013	1377668201	0	97	97	74
Wed Aug 28 12:37:07 2013	1377668227	0	97	97	73
Wed Aug 28 12:36:28 2013	1377668188	0	97	97	73
Wed Aug 28 12:37:06 2013	1377668226	0	97	97	73
Wed Aug 28 12:36:25 2013	1377668185	0	97	97	72
Wed Aug 28 12:37:04 2013	1377668224	0	97	97	74
Wed Aug 28 12:37:04 2013	1377668224	0	97	97	73
Wed Aug 28 12:36:22 2013	1377668182	0	97	97	74
Wed Aug 28 12:37:01 2013	1377668221	0	97	98	73
Wed Aug 28 12:36:32 2013	1377668192	0	97	98	74
Wed Aug 28 12:37:02 2013	1377668222	0	97	98	74
Wed Aug 28 12:37:04 2013	1377668224	0	98	98	74
Wed Aug 28 12:36:25 2013	1377668185	0	98	98	74
Wed Aug 28 12:36:32 2013	1377668192	0	97	98	73
Wed Aug 28 12:36:22 2013	1377668182	0	97	98	74
Wed Aug 28 12:36:32 2013	1377668192	1	97	98	74
Wed Aug 28 12:37:03 2013	1377668223	0	98	98	75
Wed Aug 28 12:36:47 2013	1377668207	0	98	98	74
Wed Aug 28 12:37:06 2013	1377668226	0	98	98	74
Wed Aug 28 12:36:43 2013	1377668203	0	98	98	74
Wed Aug 28 12:36:31 2013	1377668191	0	98	98	74
Wed Aug 28 12:37:01 2013	1377668221	0	98	98	74
Wed Aug 28 12:36:21 2013	1377668181	0	98	98	73
Wed Aug 28 12:37:04 2013	1377668224	0	98	98	74
Wed Aug 28 12:36:24 2013	1377668184	0	98	98	74
Wed Aug 28 12:37:01 2013	1377668221	0	98	98	74
Wed Aug 28 12:36:42 2013	1377668202	0	98	98	74
Wed Aug 28 12:36:31 2013	1377668191	0	98	98	74
Wed Aug 28 12:36:19 2013	1377668179	0	98	98	74
Wed Aug 28 12:36:32 2013	1377668192	0	98	98	74
Wed Aug 28 12:36:22 2013	1377668182	0	98	98	74
Wed Aug 28 12:37:05 2013	1377668225	0	98	98	75
Wed Aug 28 12:36:28 2013	1377668188	0	98	98	74
Wed Aug 28 12:37:03 2013	1377668223	0	98	98	74
Wed Aug 28 12:36:26 2013	1377668186	0	98	98	74
Wed Aug 28 12:37:04 2013	1377668224	0	98	98	74
Wed Aug 28 12:37:03 2013	1377668223	0	98	98	74
Wed Aug 28 12:36:18 2013	1377668178	0	98	98	74
Wed Aug 28 12:36:58 2013	1377668218	0	98	98	74
Wed Aug 28 12:36:57 2013	1377668217	0	98	98	75
Wed Aug 28 12:37:01 2013	1377668221	0	98	98	75
Wed Aug 28 12:36:31 2013	1377668191	0	98	98	75
Wed Aug 28 12:36:44 2013	1377668204	0	98	98	74
Wed Aug 28 12:37:05 2013	1377668225	0	98	98	74
Wed Aug 28 12:36:24 2013	1377668184	0	98	98	74
Wed Aug 28 12:36:26 2013	1377668186	0	98	99	74
Wed Aug 28 12:36:40 2013	1377668200	0	98	99	75
Wed Aug 28 12:36:40 2013	1377668200	0	98	99	75
Wed Aug 28 12:37:01 2013	1377668221	0	98	99	75
Wed Aug 28 12:36:58 2013	1377668218	0	98	99	74
Wed Aug 28 12:36:55 2013	1377668215	0	98	99	74
Wed Aug 28 12:37:02 2013	1377668222	0	98	99	74
Wed Aug 28 12:36:21 2013	1377668181	0	98	99	74
Wed Aug 28 12:36:31 2013	1377668191	0	98	99	75
Wed Aug 28 12:36:41 2013	1377668201	0	99	99	73
